id,name,year,status,type,country,genres,rating,watched_date,note
315,Pantheon,2022,waiting,series,US,"action,adventure,sci-fi,psychological",,,
316,Black Swan,2010,waiting,movie,US,"horror,thriller,psychological",,,
317,Left-Handed Girl,2025,waiting,movie,China,life,,,
318,The Zone of Interest,2023,waiting,movie,US,"war,history",,,
319,Spirit Fingers,2025,waiting,series,Korea,"comedy,romance,youth",,,
320,Yi Yi,2000,waiting,movie,China,"family,life",,,
321,Eternity,2025,waiting,movie,US,"comedy,romance,fantasy",,,
322,The Housemaid,2025,waiting,movie,US,"mystery,thriller,psychological",,,
323,Into The Mortal World,2024,waiting,movie,China,"animation,fantasy",,,
324,Shoplifters,2018,waiting,movie,Japan,"family,crime,thriller,psychological",,,
325,Sinners,2025,waiting,movie,US,"action,mystery,horror,thriller",,,
326,The Threesome,2025,waiting,movie,US,"comedy,romance",,,
327,Can This Love Be Translated?,2026,waiting,series,Korea,"comedy,romance",,,
328,One Battle After Another,2025,waiting,movie,US,"comedy,action,crime,thriller",,,
329,The Shadow's Edge,2025,waiting,movie,China,"action,crime,thriller",,,
330,American Psycho,2000,waiting,movie,US,"crime,horror,thriller",,,
331,People We Meet on Vacation,2026,waiting,movie,US,"comedy,romance",,,
332,The Drama,2026,waiting,movie,US,"comedy,romance",,,
333,The Running Man,2025,waiting,movie,US,"action,sci-fi,thriller",,,
334,Lost in Starlight,2025,waiting,movie,Korea,"romance,animation,sci-fi",,,
335,Chainsaw Man – The Movie: Reze Arc,2025,waiting,movie,Japan,"romance,animation,action,fantasy",,,
336,Long Day’s Journey Into Night,2018,waiting,movie,China,mystery,,,
337,Resurrection,2025,waiting,movie,China,"romance,sci-fi,fantasy",,,
338,Sore: A Wife from the Future,2025,waiting,movie,,"romance,time travel,sci-fi,fantasy",,,
339,Violet Evergarden,2018,waiting,series,Japan,"romance,animation,fantasy",,,
340,Ne Zha (Na Tra),2019,completed,movie,China,"animation,family,adventure,fantasy",9.0,2026-01-25,
341,Ne Zha 2 (Na Tra 2),2025,waiting,movie,China,"animation,action,adventure,fantasy",,,
342,100 METERS,2025,waiting,movie,Japan,"animation,sport",,,
343,Project Hail Mary,2026,waiting,movie,US,"adventure,sci-fi,mystery",,,
344,Dumb Money,2023,waiting,movie,US,"comedy,history",,,
345,Bring Her Back,2025,waiting,movie,US,horror,,,
346,GOAT,2026,waiting,movie,US,"comedy,animation,action,sport",,,
347,Ralph Breaks the Internet,2018,waiting,movie,US,"comedy,animation,adventure",,,
348,Train Dreams,2025,waiting,movie,US,"psychological,drama",,,
349,Pavane,2026,waiting,movie,Korea,romance,,,
350,Gia tài của ngoại (How To Make Millions Before Grandma Dies),2024,waiting,movie,,"family,drama",,,
351,The Daily Life of the Immortal King 5,2025,completed,series,China,"comedy,animation,action,adventure",7.0,2026-02-22,
352,Microhabitat,2017,waiting,movie,Korea,"romance,drama",,,
353,The Ghost in the Shell,2026,waiting,series,Japan,"animation,action,sci-fi",,,
354,Pearl,2022,waiting,movie,US,"horror,thriller",,,
355,High Life,2018,waiting,movie,US,"sci-fi,thriller",,,
356,Saltburn,2023,waiting,movie,US,"thriller,dark comedy,psychological,drama",,,
357,Bloody Flower,2026,waiting,series,Korea,"mystery,crime,thriller,psychological",,,
358,Hoppers,2026,waiting,movie,US,"comedy,animation,sci-fi",,,
359,Little Amélie or the Character of Rain,2025,waiting,movie,,"animation,family,drama",,,
360,Once We Were Us,2025,waiting,movie,Korea,"romance,drama",,,
361,Snowpiercer,2013,waiting,movie,Korea,"action,sci-fi,thriller",,,
362,Lời Nguyền Thư Viện Mikura (Whoever Steals This Book),2025,waiting,movie,Japan,"animation,fantasy",,,
363,Heel,2025,waiting,movie,US,"mystery,horror,thriller",,,
364,Heavenly Delusion,2023,waiting,series,Japan,"animation,adventure,sci-fi,mystery",,,
365,Super Crooks,2021,waiting,series,Japan,"animation,crime",,,
366,Boyfriend on Demand,2026,waiting,series,Korea,"comedy,romance,fantasy",,,
367,Zom 100: Bucket List of the Dead,2023,waiting,series,Japan,"comedy,animation,action,zombie",,,
368,Blood Blockade Battlefront,2015,waiting,series,Japan,"comedy,animation,action,adventure",,,
369,Still Shinning,2026,waiting,series,Korea,"romance,melodrama,youth",,,
